姓名,姓氏,字辈,性别,排序,出生日期,逝世日期,是否离世,籍贯,职业,父亲,母亲,配偶,是否入赘,是否招夫养子,生平简介,突出事迹
克51011,孔,克,男,21,857-01-01,934-01-01,是,江苏,工,希50100,,,,,,
克51012,孔,克,男,73,853-01-01,918-01-01,是,河南,农,希50034,,,,,,
克51013,孔,克,男,36,856-01-01,924-01-01,是,安徽,商,希50120,,,,,,
克51014,孔,克,男,43,852-01-01,937-01-01,是,安徽,商,希50063,,,,,,
克51015,孔,克,男,36,847-01-01,918-01-01,是,江苏,官员,希50024,,,,,,
克51016,孔,克,男,18,843-01-01,933-01-01,是,浙江,工,希50145,,,,,,
克51017,孔,克,男,86,858-01-01,945-01-01,是,曲阜,学者,希50076,,,,,,
克51018,孔,克,男,100,844-01-01,932-01-01,是,安徽,工,希50029,,,,,,
克51019,孔,克,男,90,852-01-01,939-01-01,是,浙江,儒,希50125,,,,,,
克51020,孔,克,男,89,847-01-01,914-01-01,是,曲阜,士,希50117,,,,,,
克51021,孔,克,男,20,846-01-01,924-01-01,是,安徽,农,希50051,,,,,,
克51022,孔,克,男,31,859-01-01,943-01-01,是,山东,学者,希50057,,,,,,
克51023,孔,克,男,69,846-01-01,918-01-01,是,江苏,官员,希50042,,,,,,
克51024,孔,克,男,53,846-01-01,929-01-01,是,曲阜,商,希50053,,,,,,
克51025,孔,克,男,41,857-01-01,923-01-01,是,江苏,官员,希50076,,,,,,
克51026,孔,克,男,94,847-01-01,920-01-01,是,山东,商,希50117,,,,,,
克51027,孔,克,男,80,851-01-01,926-01-01,是,江苏,士,希50000,,,,,,
克51028,孔,克,男,23,857-01-01,945-01-01,是,江苏,儒,希50005,,,,,,
克51029,孔,克,男,41,854-01-01,926-01-01,是,曲阜,学者,希50070,,,,,,
克51030,孔,克,男,38,848-01-01,917-01-01,是,安徽,农,希50004,,,,,,
克51031,孔,克,男,56,840-01-01,908-01-01,是,浙江,官员,希50006,,,,,,
克51032,孔,克,男,4,846-01-01,932-01-01,是,河南,工,希50003,,,,,,
克51033,孔,克,男,52,840-01-01,907-01-01,是,江苏,学者,希50125,,,,,,
克51034,孔,克,男,54,845-01-01,934-01-01,是,山东,官员,希50121,,,,,,
克51035,孔,克,男,14,849-01-01,933-01-01,是,曲阜,儒,希50104,,,,,,
克51036,孔,克,男,76,860-01-01,934-01-01,是,曲阜,工,希50135,,,,,,
克51037,孔,克,男,12,856-01-01,919-01-01,是,曲阜,儒,希50075,,,,,,
克51038,孔,克,男,94,849-01-01,928-01-01,是,曲阜,官员,希50055,,,,,,
克51039,孔,克,男,59,844-01-01,928-01-01,是,江苏,儒,希50144,,,,,,
克51040,孔,克,男,46,844-01-01,927-01-01,是,曲阜,士,希50032,,,,,,
克51041,孔,克,男,66,845-01-01,919-01-01,是,江苏,官员,希50040,,,,,,
克51042,孔,克,男,71,842-01-01,915-01-01,是,曲阜,工,希50139,,,,,,
克51043,孔,克,男,23,858-01-01,922-01-01,是,江苏,农,希50038,,,,,,
克51044,孔,克,男,26,857-01-01,922-01-01,是,山东,农,希50035,,,,,,
克51045,孔,克,男,85,856-01-01,934-01-01,是,曲阜,士,孔思,,,,,,
克51046,孔,克,男,30,852-01-01,919-01-01,是,山东,工,希50063,,,,,,
克51047,孔,克,男,66,859-01-01,921-01-01,是,曲阜,学者,希50103,,,,,,
克51048,孔,克,男,20,856-01-01,934-01-01,是,山东,官员,希50093,,,,,,
克51049,孔,克,男,42,842-01-01,902-01-01,是,曲阜,官员,希50040,,,,,,
克51050,孔,克,男,32,846-01-01,917-01-01,是,安徽,工,希50019,,,,,,
克51051,孔,克,男,39,852-01-01,912-01-01,是,河南,士,希50039,,,,,,
克51052,孔,克,男,22,843-01-01,931-01-01,是,曲阜,商,希50114,,,,,,
克51053,孔,克,男,54,856-01-01,932-01-01,是,河南,儒,希50074,,,,,,
克51054,孔,克,男,17,848-01-01,911-01-01,是,河南,官员,希50049,,,,,,
克51055,孔,克,男,83,854-01-01,927-01-01,是,曲阜,士,希50109,,,,,,
克51056,孔,克,男,72,841-01-01,928-01-01,是,浙江,工,希50148,,,,,,
克51057,孔,克,男,40,847-01-01,910-01-01,是,江苏,儒,希50083,,,,,,
克51058,孔,克,男,10,852-01-01,920-01-01,是,江苏,农,希50044,,,,,,
克51059,孔,克,男,19,846-01-01,931-01-01,是,河南,农,希50070,,,,,,
克51060,孔,克,男,55,855-01-01,932-01-01,是,安徽,官员,希50040,,,,,,
克51061,孔,克,男,33,840-01-01,901-01-01,是,江苏,商,希50091,,,,,,
克51062,孔,克,男,6,846-01-01,909-01-01,是,江苏,儒,希50126,,,,,,
克51063,孔,克,男,7,847-01-01,912-01-01,是,江苏,工,希50110,,,,,,
克51064,孔,克,男,2,845-01-01,922-01-01,是,河南,学者,希50050,,,,,,
克51065,孔,克,男,77,848-01-01,915-01-01,是,河南,工,希50065,,,,,,
克51066,孔,克,男,49,859-01-01,944-01-01,是,曲阜,儒,希50085,,,,,,
克51067,孔,克,男,64,852-01-01,938-01-01,是,曲阜,学者,希50116,,,,,,
克51068,孔,克,男,74,846-01-01,931-01-01,是,曲阜,士,希50051,,,,,,
克51069,孔,克,男,90,842-01-01,910-01-01,是,浙江,儒,希50113,,,,,,
克51070,孔,克,男,94,852-01-01,919-01-01,是,曲阜,农,希50084,,,,,,
克51071,孔,克,男,36,853-01-01,934-01-01,是,浙江,工,希50023,,,,,,
克51072,孔,克,男,82,849-01-01,934-01-01,是,江苏,工,希50029,,,,,,
克51073,孔,克,男,85,841-01-01,925-01-01,是,浙江,士,希50122,,,,,,
克51074,孔,克,男,15,857-01-01,935-01-01,是,安徽,商,希50099,,,,,,
克51075,孔,克,男,16,848-01-01,927-01-01,是,曲阜,商,希50091,,,,,,
克51076,孔,克,男,29,843-01-01,921-01-01,是,山东,儒,希50124,,,,,,
克51077,孔,克,男,94,860-01-01,938-01-01,是,浙江,工,希50105,,,,,,
克51078,孔,克,男,5,852-01-01,941-01-01,是,江苏,农,希50001,,,,,,
克51079,孔,克,男,82,841-01-01,912-01-01,是,江苏,士,希50111,,,,,,
克51080,孔,克,男,69,857-01-01,937-01-01,是,安徽,工,希50111,,,,,,
克51081,孔,克,男,82,853-01-01,930-01-01,是,山东,农,希50027,,,,,,
克51082,孔,克,男,60,840-01-01,913-01-01,是,山东,儒,希50067,,,,,,
克51083,孔,克,男,8,844-01-01,924-01-01,是,山东,商,希50134,,,,,,
克51084,孔,克,男,67,843-01-01,917-01-01,是,曲阜,工,希50101,,,,,,
克51085,孔,克,男,68,847-01-01,913-01-01,是,曲阜,儒,希50043,,,,,,
克51086,孔,克,男,21,859-01-01,947-01-01,是,安徽,农,希50084,,,,,,
克51087,孔,克,男,87,858-01-01,939-01-01,是,安徽,商,希50129,,,,,,
克51088,孔,克,男,28,847-01-01,907-01-01,是,山东,学者,希50109,,,,,,
克51089,孔,克,男,19,856-01-01,944-01-01,是,曲阜,学者,希50140,,,,,,
克51090,孔,克,男,76,860-01-01,931-01-01,是,安徽,工,希50058,,,,,,
克51091,孔,克,男,48,849-01-01,920-01-01,是,浙江,农,希50026,,,,,,
克51092,孔,克,男,55,847-01-01,937-01-01,是,曲阜,商,希50020,,,,,,
克51093,孔,克,男,12,856-01-01,927-01-01,是,河南,学者,希50040,,,,,,
克51094,孔,克,男,60,841-01-01,906-01-01,是,浙江,商,希50113,,,,,,
克51095,孔,克,男,67,848-01-01,922-01-01,是,浙江,儒,希50053,,,,,,
克51096,孔,克,男,38,842-01-01,931-01-01,是,曲阜,工,希50120,,,,,,
克51097,孔,克,男,89,858-01-01,933-01-01,是,曲阜,儒,希50015,,,,,,
克51098,孔,克,男,22,857-01-01,927-01-01,是,安徽,商,希50143,,,,,,
克51099,孔,克,男,19,851-01-01,920-01-01,是,江苏,官员,希50105,,,,,,
克51100,孔,克,男,52,842-01-01,910-01-01,是,江苏,学者,希50093,,,,,,
克51101,孔,克,男,21,847-01-01,934-01-01,是,安徽,工,希50072,,,,,,
克51102,孔,克,男,45,842-01-01,908-01-01,是,安徽,商,希50013,,,,,,
克51103,孔,克,男,36,846-01-01,907-01-01,是,曲阜,士,希50104,,,,,,
克51104,孔,克,男,64,842-01-01,931-01-01,是,安徽,儒,希50010,,,,,,
克51105,孔,克,男,41,857-01-01,917-01-01,是,江苏,士,希50074,,,,,,
克51106,孔,克,男,17,844-01-01,923-01-01,是,江苏,工,希50084,,,,,,
克51107,孔,克,男,92,853-01-01,936-01-01,是,江苏,儒,希50089,,,,,,
克51108,孔,克,男,7,842-01-01,907-01-01,是,曲阜,农,希50037,,,,,,
克51109,孔,克,男,51,841-01-01,920-01-01,是,山东,官员,希50033,,,,,,
克51110,孔,克,男,37,854-01-01,914-01-01,是,河南,农,希50136,,,,,,
克51111,孔,克,男,95,844-01-01,928-01-01,是,山东,官员,希50120,,,,,,
克51112,孔,克,男,43,850-01-01,936-01-01,是,河南,儒,希50084,,,,,,
克51113,孔,克,男,72,857-01-01,919-01-01,是,江苏,学者,希50038,,,,,,
克51114,孔,克,男,15,854-01-01,944-01-01,是,浙江,商,希50036,,,,,,
克51115,孔,克,男,34,846-01-01,908-01-01,是,河南,官员,希50109,,,,,,
克51116,孔,克,男,13,845-01-01,906-01-01,是,曲阜,学者,希50148,,,,,,
克51117,孔,克,男,19,854-01-01,925-01-01,是,河南,士,希50111,,,,,,
克51118,孔,克,男,90,860-01-01,935-01-01,是,河南,士,希50072,,,,,,
克51119,孔,克,男,82,852-01-01,936-01-01,是,浙江,儒,希50004,,,,,,
克51120,孔,克,男,4,846-01-01,918-01-01,是,河南,士,希50033,,,,,,
克51121,孔,克,男,18,858-01-01,919-01-01,是,江苏,商,希50107,,,,,,
克51122,孔,克,男,56,848-01-01,912-01-01,是,曲阜,士,希50137,,,,,,
克51123,孔,克,男,83,858-01-01,922-01-01,是,山东,官员,希50040,,,,,,
克51124,孔,克,男,62,857-01-01,922-01-01,是,河南,商,希50115,,,,,,
克51125,孔,克,男,23,857-01-01,920-01-01,是,曲阜,工,希50070,,,,,,
克51126,孔,克,男,80,860-01-01,950-01-01,是,河南,官员,希50055,,,,,,
克51127,孔,克,男,11,857-01-01,940-01-01,是,曲阜,官员,希50042,,,,,,
克51128,孔,克,男,78,857-01-01,942-01-01,是,山东,学者,希50031,,,,,,
克51129,孔,克,男,86,845-01-01,923-01-01,是,曲阜,工,希50037,,,,,,
克51130,孔,克,男,32,845-01-01,908-01-01,是,江苏,商,希50023,,,,,,
克51131,孔,克,男,98,855-01-01,939-01-01,是,江苏,官员,希50116,,,,,,
克51132,孔,克,男,28,855-01-01,920-01-01,是,江苏,士,希50093,,,,,,
克51133,孔,克,男,95,854-01-01,933-01-01,是,山东,官员,希50081,,,,,,
克51134,孔,克,男,52,858-01-01,931-01-01,是,江苏,儒,希50136,,,,,,
克51135,孔,克,男,9,857-01-01,931-01-01,是,浙江,学者,希50122,,,,,,
克51136,孔,克,男,37,853-01-01,923-01-01,是,浙江,儒,希50048,,,,,,
克51137,孔,克,男,24,845-01-01,924-01-01,是,曲阜,儒,希50090,,,,,,
克51138,孔,克,男,86,854-01-01,921-01-01,是,安徽,官员,希50145,,,,,,
克51139,孔,克,男,28,851-01-01,935-01-01,是,山东,农,希50020,,,,,,
克51140,孔,克,男,97,851-01-01,920-01-01,是,河南,工,希50125,,,,,,
克51141,孔,克,男,89,850-01-01,910-01-01,是,江苏,官员,希50079,,,,,,
克51142,孔,克,男,81,851-01-01,924-01-01,是,浙江,学者,希50115,,,,,,
克51143,孔,克,男,88,860-01-01,929-01-01,是,江苏,商,希50084,,,,,,
克51144,孔,克,男,69,857-01-01,935-01-01,是,安徽,士,希50014,,,,,,
克51145,孔,克,男,66,847-01-01,926-01-01,是,安徽,官员,希50009,,,,,,
克51146,孔,克,男,2,843-01-01,914-01-01,是,山东,农,希50031,,,,,,
克51147,孔,克,男,80,856-01-01,925-01-01,是,浙江,士,希50011,,,,,,
克51148,孔,克,男,50,858-01-01,923-01-01,是,山东,士,希50048,,,,,,
克51149,孔,克,男,54,859-01-01,930-01-01,是,山东,工,希50080,,,,,,
克52000,孔,克,男,41,878-01-01,944-01-01,是,江苏,农,克51085,,,,,,
克52001,孔,克,男,38,875-01-01,957-01-01,是,河南,商,克51065,,,,,,
克52002,孔,克,男,52,876-01-01,956-01-01,是,曲阜,工,克51126,,,,,,
克52003,孔,克,男,85,883-01-01,956-01-01,是,河南,工,克51100,,,,,,
克52004,孔,克,男,72,878-01-01,968-01-01,是,山东,工,克51120,,,,,,
克52005,孔,克,男,15,883-01-01,967-01-01,是,浙江,工,克51009,,,,,,
克52006,孔,克,男,83,881-01-01,943-01-01,是,山东,儒,克51125,,,,,,
克52007,孔,克,男,15,883-01-01,960-01-01,是,安徽,商,克51053,,,,,,
克52008,孔,克,男,93,884-01-01,957-01-01,是,安徽,士,克51041,,,,,,
克52009,孔,克,男,7,883-01-01,969-01-01,是,安徽,工,克51119,,,,,,
克52010,孔,克,男,60,872-01-01,949-01-01,是,曲阜,农,克51093,,,,,,
克52011,孔,克,男,29,877-01-01,957-01-01,是,安徽,儒,克51048,,,,,,
克52012,孔,克,男,34,873-01-01,940-01-01,是,江苏,工,孔克慈,,,,,,
克52013,孔,克,男,2,871-01-01,949-01-01,是,安徽,工,克51129,,,,,,
克52014,孔,克,男,35,887-01-01,976-01-01,是,安徽,商,克51068,,,,,,
克52015,孔,克,男,23,869-01-01,937-01-01,是,山东,儒,克51114,,,,,,
克52016,孔,克,男,75,870-01-01,934-01-01,是,浙江,官员,克51126,,,,,,
克52017,孔,克,男,80,882-01-01,949-01-01,是,山东,士,克51012,,,,,,
克52018,孔,克,男,5,887-01-01,967-01-01,是,曲阜,学者,克51027,,,,,,
克52019,孔,克,男,5,872-01-01,937-01-01,是,河南,官员,克51149,,,,,,
克52020,孔,克,男,2,876-01-01,941-01-01,是,河南,儒,克51124,,,,,,
克52021,孔,克,男,40,879-01-01,960-01-01,是,山东,农,克51029,,,,,,
克52022,孔,克,男,49,881-01-01,950-01-01,是,山东,工,克51038,,,,,,
克52023,孔,克,男,51,883-01-01,957-01-01,是,河南,士,克51073,,,,,,
克52024,孔,克,男,94,871-01-01,955-01-01,是,曲阜,官员,克51051,,,,,,
克52025,孔,克,男,23,881-01-01,944-01-01,是,山东,士,克51012,,,,,,
克52026,孔,克,男,64,868-01-01,938-01-01,是,安徽,儒,克51013,,,,,,
克52027,孔,克,男,40,874-01-01,943-01-01,是,浙江,官员,克51129,,,,,,
克52028,孔,克,男,66,878-01-01,955-01-01,是,浙江,商,克51001,,,,,,
克52029,孔,克,男,32,884-01-01,954-01-01,是,河南,工,克51089,,,,,,
克52030,孔,克,男,20,885-01-01,950-01-01,是,曲阜,工,克51023,,,,,,
克52031,孔,克,男,64,875-01-01,950-01-01,是,山东,学者,克51011,,,,,,
克52032,孔,克,男,14,877-01-01,941-01-01,是,江苏,学者,克51045,,,,,,
克52033,孔,克,男,69,882-01-01,970-01-01,是,河南,儒,克51066,,,,,,
克52034,孔,克,男,89,887-01-01,961-01-01,是,山东,官员,克51037,,,,,,
克52035,孔,克,男,9,869-01-01,936-01-01,是,河南,工,克51035,,,,,,
克52036,孔,克,男,84,868-01-01,937-01-01,是,曲阜,官员,克51001,,,,,,
克52037,孔,克,男,59,880-01-01,944-01-01,是,安徽,学者,克51149,,,,,,
克52038,孔,克,男,81,881-01-01,951-01-01,是,曲阜,学者,克51000,,,,,,
克52039,孔,克,男,87,872-01-01,932-01-01,是,河南,农,克51101,,,,,,
克52040,孔,克,男,12,872-01-01,957-01-01,是,河南,工,克51011,,,,,,
克52041,孔,克,男,92,875-01-01,962-01-01,是,河南,学者,孔克坚,,,,,,
克52042,孔,克,男,66,872-01-01,961-01-01,是,山东,商,克51002,,,,,,
克52043,孔,克,男,24,888-01-01,966-01-01,是,安徽,农,克51133,,,,,,
克52044,孔,克,男,26,880-01-01,941-01-01,是,山东,官员,孔克坚,,,,,,
克52045,孔,克,男,13,871-01-01,960-01-01,是,浙江,官员,克51111,,,,,,
克52046,孔,克,男,39,873-01-01,941-01-01,是,江苏,商,克51021,,,,,,
克52047,孔,克,男,59,886-01-01,975-01-01,是,山东,学者,克51025,,,,,,
克52048,孔,克,男,36,888-01-01,968-01-01,是,河南,士,孔克坚,,,,,,
克52049,孔,克,男,99,874-01-01,949-01-01,是,山东,士,克51055,,,,,,
克52050,孔,克,男,59,868-01-01,936-01-01,是,山东,儒,克51069,,,,,,
克52051,孔,克,男,31,877-01-01,957-01-01,是,河南,工,克51138,,,,,,
克52052,孔,克,男,88,886-01-01,951-01-01,是,浙江,商,克51003,,,,,,
克52053,孔,克,男,80,885-01-01,953-01-01,是,安徽,商,克51065,,,,,,
克52054,孔,克,男,20,870-01-01,931-01-01,是,江苏,商,克51145,,,,,,
克52055,孔,克,男,51,884-01-01,971-01-01,是,浙江,工,克51123,,,,,,
克52056,孔,克,男,24,874-01-01,939-01-01,是,河南,商,克51146,,,,,,
克52057,孔,克,男,49,884-01-01,956-01-01,是,安徽,工,克51141,,,,,,
克52058,孔,克,男,88,870-01-01,959-01-01,是,江苏,学者,克51014,,,,,,
克52059,孔,克,男,88,875-01-01,955-01-01,是,河南,士,克51087,,,,,,
克52060,孔,克,男,37,879-01-01,946-01-01,是,河南,农,克51031,,,,,,
克52061,孔,克,男,31,887-01-01,947-01-01,是,河南,工,克51101,,,,,,
克52062,孔,克,男,60,868-01-01,939-01-01,是,江苏,士,克51093,,,,,,
克52063,孔,克,男,19,869-01-01,952-01-01,是,曲阜,农,克51134,,,,,,
克52064,孔,克,男,85,873-01-01,951-01-01,是,曲阜,士,克51068,,,,,,
克52065,孔,克,男,59,887-01-01,974-01-01,是,江苏,工,克51106,,,,,,
克52066,孔,克,男,50,883-01-01,968-01-01,是,江苏,儒,克51025,,,,,,
克52067,孔,克,男,36,873-01-01,934-01-01,是,曲阜,学者,克51069,,,,,,
克52068,孔,克,男,84,870-01-01,937-01-01,是,河南,士,克51016,,,,,,
克52069,孔,克,男,100,873-01-01,947-01-01,是,山东,士,克51128,,,,,,
克52070,孔,克,男,1,871-01-01,950-01-01,是,山东,学者,克51001,,,,,,
克52071,孔,克,男,26,886-01-01,975-01-01,是,山东,学者,克51137,,,,,,
克52072,孔,克,男,36,872-01-01,943-01-01,是,江苏,官员,克51090,,,,,,
克52073,孔,克,男,60,886-01-01,957-01-01,是,浙江,农,克51096,,,,,,
克52074,孔,克,男,1,870-01-01,939-01-01,是,河南,农,克51029,,,,,,
克52075,孔,克,男,29,886-01-01,958-01-01,是,曲阜,农,克51036,,,,,,
克52076,孔,克,男,23,879-01-01,949-01-01,是,浙江,学者,克51010,,,,,,
克52077,孔,克,男,39,876-01-01,952-01-01,是,河南,商,克51081,,,,,,
克52078,孔,克,男,50,882-01-01,944-01-01,是,河南,工,克51028,,,,,,
克52079,孔,克,男,17,888-01-01,966-01-01,是,曲阜,农,克51100,,,,,,
克52080,孔,克,男,48,885-01-01,973-01-01,是,曲阜,农,克51048,,,,,,
克52081,孔,克,男,62,880-01-01,949-01-01,是,江苏,学者,克51037,,,,,,
克52082,孔,克,男,68,880-01-01,953-01-01,是,曲阜,官员,克51010,,,,,,
克52083,孔,克,男,3,888-01-01,977-01-01,是,江苏,工,克51149,,,,,,
克52084,孔,克,男,61,880-01-01,948-01-01,是,江苏,商,克51088,,,,,,
克52085,孔,克,男,81,879-01-01,939-01-01,是,浙江,儒,克51021,,,,,,
克52086,孔,克,男,78,888-01-01,955-01-01,是,曲阜,商,克51121,,,,,,
克52087,孔,克,男,30,885-01-01,949-01-01,是,安徽,儒,克51083,,,,,,
克52088,孔,克,男,85,869-01-01,947-01-01,是,浙江,工,克51090,,,,,,
克52089,孔,克,男,66,883-01-01,957-01-01,是,曲阜,官员,克51037,,,,,,
克52090,孔,克,男,13,868-01-01,941-01-01,是,河南,工,克51071,,,,,,
克52091,孔,克,男,86,869-01-01,933-01-01,是,安徽,官员,克51145,,,,,,
克52092,孔,克,男,87,874-01-01,937-01-01,是,安徽,士,克51064,,,,,,
克52093,孔,克,男,62,879-01-01,961-01-01,是,浙江,学者,克51104,,,,,,
克52094,孔,克,男,35,884-01-01,950-01-01,是,河南,学者,克51096,,,,,,
克52095,孔,克,男,55,885-01-01,953-01-01,是,河南,工,克51086,,,,,,
克52096,孔,克,男,53,875-01-01,959-01-01,是,安徽,商,克51121,,,,,,
克52097,孔,克,男,27,883-01-01,957-01-01,是,曲阜,商,孔克坚,,,,,,
克52098,孔,克,男,73,888-01-01,965-01-01,是,安徽,商,克51113,,,,,,
克52099,孔,克,男,84,877-01-01,948-01-01,是,河南,官员,克51131,,,,,,
克52100,孔,克,男,95,881-01-01,966-01-01,是,河南,工,克51100,,,,,,
克52101,孔,克,男,27,877-01-01,945-01-01,是,山东,士,克51032,,,,,,
克52102,孔,克,男,93,871-01-01,955-01-01,是,曲阜,商,克51041,,,,,,
克52103,孔,克,男,23,872-01-01,932-01-01,是,山东,儒,克51127,,,,,,
克52104,孔,克,男,57,883-01-01,964-01-01,是,安徽,儒,克51130,,,,,,
克52105,孔,克,男,20,882-01-01,958-01-01,是,曲阜,工,克51005,,,,,,
克52106,孔,克,男,100,885-01-01,971-01-01,是,安徽,工,克51036,,,,,,
克52107,孔,克,男,40,879-01-01,962-01-01,是,浙江,学者,克51065,,,,,,
克52108,孔,克,男,41,888-01-01,973-01-01,是,江苏,学者,克51035,,,,,,
克52109,孔,克,男,42,875-01-01,952-01-01,是,山东,士,克51148,,,,,,
克52110,孔,克,男,26,886-01-01,949-01-01,是,安徽,农,克51035,,,,,,
克52111,孔,克,男,14,879-01-01,968-01-01,是,河南,工,克51134,,,,,,
克52112,孔,克,男,96,869-01-01,955-01-01,是,曲阜,农,克51104,,,,,,
克52113,孔,克,男,57,886-01-01,971-01-01,是,江苏,工,克51086,,,,,,
克52114,孔,克,男,52,874-01-01,938-01-01,是,河南,学者,克51130,,,,,,
克52115,孔,克,男,74,876-01-01,962-01-01,是,安徽,学者,克51109,,,,,,
克52116,孔,克,男,41,882-01-01,965-01-01,是,曲阜,工,克51103,,,,,,
克52117,孔,克,男,48,868-01-01,950-01-01,是,浙江,学者,克51127,,,,,,
克52118,孔,克,男,72,879-01-01,947-01-01,是,河南,农,克51141,,,,,,
克52119,孔,克,男,66,876-01-01,948-01-01,是,曲阜,儒,克51092,,,,,,
克52120,孔,克,男,35,872-01-01,944-01-01,是,山东,学者,克51081,,,,,,
克52121,孔,克,男,66,869-01-01,953-01-01,是,河南,儒,克51135,,,,,,
克52122,孔,克,男,82,878-01-01,941-01-01,是,浙江,学者,克51094,,,,,,
克52123,孔,克,男,46,888-01-01,960-01-01,是,山东,商,克51061,,,,,,
克52124,孔,克,男,71,879-01-01,960-01-01,是,安徽,工,克51092,,,,,,
克52125,孔,克,男,3,884-01-01,944-01-01,是,江苏,商,克51091,,,,,,
克52126,孔,克,男,31,876-01-01,945-01-01,是,河南,工,克51136,,,,,,
克52127,孔,克,男,89,885-01-01,968-01-01,是,江苏,儒,克51085,,,,,,
克52128,孔,克,男,95,885-01-01,969-01-01,是,山东,工,克51126,,,,,,
克52129,孔,克,男,15,875-01-01,952-01-01,是,安徽,士,克51033,,,,,,
克52130,孔,克,男,52,886-01-01,976-01-01,是,河南,学者,克51058,,,,,,
克52131,孔,克,男,23,878-01-01,952-01-01,是,河南,学者,克51080,,,,,,
克52132,孔,克,男,96,888-01-01,963-01-01,是,曲阜,官员,克51090,,,,,,
克52133,孔,克,男,91,888-01-01,963-01-01,是,曲阜,工,克51129,,,,,,
克52134,孔,克,男,27,877-01-01,963-01-01,是,山东,农,克51048,,,,,,
克52135,孔,克,男,19,884-01-01,974-01-01,是,山东,学者,克51070,,,,,,
克52136,孔,克,男,76,888-01-01,973-01-01,是,安徽,商,克51063,,,,,,
克52137,孔,克,男,43,879-01-01,961-01-01,是,山东,儒,克51035,,,,,,
克52138,孔,克,男,37,870-01-01,935-01-01,是,浙江,士,克51086,,,,,,
克52139,孔,克,男,81,882-01-01,969-01-01,是,江苏,学者,克51049,,,,,,
克52140,孔,克,男,67,883-01-01,947-01-01,是,山东,工,克51125,,,,,,
克52141,孔,克,男,100,879-01-01,955-01-01,是,山东,儒,克51102,,,,,,
克52142,孔,克,男,80,869-01-01,945-01-01,是,安徽,官员,克51069,,,,,,
克52143,孔,克,男,20,879-01-01,954-01-01,是,曲阜,工,克51083,,,,,,
克52144,孔,克,男,86,881-01-01,957-01-01,是,安徽,官员,克51142,,,,,,
克52145,孔,克,男,55,887-01-01,960-01-01,是,浙江,士,克51005,,,,,,
克52146,孔,克,男,56,869-01-01,940-01-01,是,山东,商,克51114,,,,,,
克52147,孔,克,男,39,880-01-01,944-01-01,是,河南,儒,克51076,,,,,,
克52148,孔,克,男,100,878-01-01,944-01-01,是,安徽,士,克51137,,,,,,
克52149,孔,克,男,39,870-01-01,938-01-01,是,浙江,儒,克51135,,,,,,
希53000,孔,希,男,78,912-01-01,973-01-01,是,山东,商,克52130,,,,,,
希53001,孔,希,男,45,906-01-01,993-01-01,是,江苏,商,克52073,,,,,,
希53002,孔,希,男,21,912-01-01,982-01-01,是,江苏,士,克52068,,,,,,
希53003,孔,希,男,35,906-01-01,987-01-01,是,浙江,农,克52128,,,,,,
希53004,孔,希,男,55,916-01-01,997-01-01,是,安徽,农,克52031,,,,,,
希53005,孔,希,男,92,911-01-01,977-01-01,是,浙江,儒,克52126,,,,,,
希53006,孔,希,男,46,906-01-01,984-01-01,是,河南,工,克52107,,,,,,
希53007,孔,希,男,21,908-01-01,990-01-01,是,河南,农,克52106,,,,,,
希53008,孔,希,男,35,899-01-01,978-01-01,是,浙江,农,克52008,,,,,,
希53009,孔,希,男,3,908-01-01,976-01-01,是,河南,商,克52017,,,,,,
希53010,孔,希,男,17,910-01-01,992-01-01,是,江苏,官员,克52103,,,,,,
希53011,孔,希,男,66,896-01-01,967-01-01,是,浙江,学者,克52041,,,,,,
希53012,孔,希,男,63,915-01-01,976-01-01,是,山东,儒,克52069,,,,,,
希53013,孔,希,男,34,896-01-01,969-01-01,是,山东,官员,克52078,,,,,,
希53014,孔,希,男,91,906-01-01,980-01-01,是,江苏,士,克52018,,,,,,
希53015,孔,希,男,98,905-01-01,994-01-01,是,曲阜,儒,克52035,,,,,,
希53016,孔,希,男,82,900-01-01,981-01-01,是,江苏,工,克52036,,,,,,
希53017,孔,希,男,81,911-01-01,989-01-01,是,河南,商,克52110,,,,,,
希53018,孔,希,男,61,899-01-01,984-01-01,是,曲阜,学者,克52031,,,,,,
希53019,孔,希,男,21,902-01-01,966-01-01,是,安徽,学者,克52015,,,,,,
希53020,孔,希,男,67,902-01-01,977-01-01,是,河南,儒,克52010,,,,,,
希53021,孔,希,男,69,901-01-01,968-01-01,是,安徽,士,克52106,,,,,,
希53022,孔,希,男,5,907-01-01,994-01-01,是,曲阜,儒,克52083,,,,,,
希53023,孔,希,男,41,907-01-01,977-01-01,是,河南,农,克52044,,,,,,
希53024,孔,希,男,35,899-01-01,978-01-01,是,河南,商,克52023,,,,,,
希53025,孔,希,男,27,897-01-01,973-01-01,是,江苏,官员,克52139,,,,,,
希53026,孔,希,男,54,899-01-01,985-01-01,是,河南,学者,克52007,,,,,,
希53027,孔,希,男,51,899-01-01,981-01-01,是,山东,官员,克52073,,,,,,
希53028,孔,希,男,74,916-01-01,981-01-01,是,浙江,儒,克52022,,,,,,
希53029,孔,希,男,5,907-01-01,980-01-01,是,江苏,儒,克52053,,,,,,
希53030,孔,希,男,3,897-01-01,957-01-01,是,山东,士,克52008,,,,,,
希53031,孔,希,男,12,908-01-01,995-01-01,是,曲阜,士,克52073,,,,,,
